Track name, Artist name, Album, Playlist name, Type, ISRC
Hold Me Closer,Elton John,Hold Me Closer,This Is Elton John,Playlist track,GBUM72205030
Cold Heart - PNAU Remix,Elton John,The Lockdown Sessions,This Is Elton John,Playlist track,GBUM72104705
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,Honky Chateau,This Is Elton John,Playlist track,GBAMB7200006
I'm Still Standing,Elton John,Too Low For Zero,This Is Elton John,Playlist track,GBALX8300190
Tiny Dancer,Elton John,Madman Across The Water,This Is Elton John,Playlist track,GBAMB7100001
After All,Elton John,The Lockdown Sessions,This Is Elton John,Playlist track,GBUM72105396
Bennie And The Jets - ,Elton John,Goodbye Yellow Brick Road (Remastered),This Is Elton John,Playlist track,GBUM71304955
Your Song,Elton John,Elton John,This Is Elton John,Playlist track,GBAMB9500072
Goodbye Yellow Brick Road - ,Elton John,Goodbye Yellow Brick Road (Remastered),This Is Elton John,Playlist track,GBUM71304956
Finish Line,Elton John,The Lockdown Sessions,This Is Elton John,Playlist track,GBUM72105169
I Guess That's Why They Call It The Blues,Elton John,Too Low For Zero,This Is Elton John,Playlist track,GBALX8300088
Can You Feel The Love Tonight - Remastered,Elton John,Diamonds (Deluxe),This Is Elton John,Playlist track,USWD11780906
Don't Let the Sun Go Down on Me,George Michael,Ladies & Gentlemen,This Is Elton John,Playlist track,GBBBM9102004
Sacrifice,Elton John,Sleeping With The Past (Remastered with bonus tracks),This Is Elton John,Playlist track,GBALX8900001
Nothing Else Matters,Miley Cyrus,Nothing Else Matters,This Is Elton John,Playlist track,QMKHM2100037
Circle Of Life - Remastered,Elton John,Diamonds (Deluxe),This Is Elton John,Playlist track,USWD11780910
Don't Go Breaking My Heart,Elton John,Rock Of The Westies,This Is Elton John,Playlist track,GBALX7600007
Song For Guy,Elton John,A Single Man,This Is Elton John,Playlist track,GBAMS7800133
(I'm Gonna) Love Me Again,Elton John,Rocketman (Music From The Motion Picture),This Is Elton John,Playlist track,GBUM71901330
Crocodile Rock,Elton John,Don't Shoot Me I'm Only The Piano Player,This Is Elton John,Playlist track,GBAMB7200001
Candle In The Wind - ,Elton John,Goodbye Yellow Brick Road (Remastered),This Is Elton John,Playlist track,GBUM71304954
Always Love You,Elton John,The Lockdown Sessions,This Is Elton John,Playlist track,GBUM72105172
Daniel,Elton John,Don't Shoot Me I'm Only The Piano Player,This Is Elton John,Playlist track,GBAMB9500001
Saturday Night’s Alright (For Fighting) - ,Elton John,Goodbye Yellow Brick Road (Remastered),This Is Elton John,Playlist track,GBUM71304966
Sorry Seems To Be The Hardest Word,Elton John,Blue Moves,This Is Elton John,Playlist track,GBALX7600002
"Bennie And The Jets - Recorded At The Colosseum, Caesars Palace, Las Vegas",Elton John,Spotify Singles,This Is Elton John,Playlist track,GBUM71807643
Something About The Way You Look Tonight - Edit Version,Elton John,Candle In The Wind 1997 / Something About ...,This Is Elton John,Playlist track,GBAMS9700013
Nikita,Elton John,Ice On Fire,This Is Elton John,Playlist track,GBAMS8500203
Philadelphia Freedom,Elton John,Captain Fantastic And The Brown Dirt Cowboy,This Is Elton John,Playlist track,GBAMB7500013
Are You Ready For Love? - Remastered,Elton John,Diamonds (Deluxe),This Is Elton John,Playlist track,GBUM71702483
Lucy In The Sky With Diamonds,Elton John,Captain Fantastic And The Brown Dirt Cowboy,This Is Elton John,Playlist track,GBAMB7500011
Pinball Wizard,Elton John,Goodbye Yellow Brick Road (40th Anniversary Celebration / Super Deluxe),This Is Elton John,Playlist track,GBAKW7501037
The Bitch Is Back,Elton John,Caribou,This Is Elton John,Playlist track,GBAMB9500040
I Want Love,Elton John,Songs From The West Coast (Expanded Edition),This Is Elton John,Playlist track,GBF080100297
Honky Cat,Elton John,To Be Continued...,This Is Elton John,Playlist track,GBAMB7200002
This Train Don't Stop There Anymore,Elton John,Songs From The West Coast (Expanded Edition),This Is Elton John,Playlist track,GBF080100298
I Don't Wanna Go On With You Like That,Elton John,Reg Strikes Back,This Is Elton John,Playlist track,GBAMS8800004
Take Me To The Pilot,Elton John,Elton John,This Is Elton John,Playlist track,GBAMB9500074
Captain Fantastic And The Brown Dirt Cowboy,Elton John,Captain Fantastic And The Brown Dirt Cowboy,This Is Elton John,Playlist track,GBAMB7500001
Funeral For A Friend / Love Lies Bleeding - ,Elton John,Goodbye Yellow Brick Road (Remastered),This Is Elton John,Playlist track,GBUM71304953
In The Name Of You,Elton John,Wonderful Crazy Night (Deluxe),This Is Elton John,Playlist track,GBUM71506184
Blue Eyes - Remastered 2003,Elton John,Jump Up!,This Is Elton John,Playlist track,GBALX8200008
Burn Down The Mission,Elton John,Tumbleweed Connection,This Is Elton John,Playlist track,GBAMB9500024
Don't Go Breaking My Heart,Elton John,Duets,This Is Elton John,Playlist track,GBALX9300020
Ghetto Gospel,2Pac,Loyal To The Game,This Is Elton John,Playlist track,USIR10401032
Made In England,Elton John,Made In England,This Is Elton John,Playlist track,GBAMS9400003
A Good Heart,Elton John,Wonderful Crazy Night (Deluxe),This Is Elton John,Playlist track,GBUM71506179
When Love Is Dying,Elton John,The Union (Deluxe),This Is Elton John,Playlist track,GBUM71026489
Candle In The Wind 1997,Elton John,Candle In The Wind 1997 / Something About ...,This Is Elton John,Playlist track,GBAMS9700016
Wonderful Crazy Night,Elton John,Wonderful Crazy Night (Deluxe),This Is Elton John,Playlist track,GBUM71506178
Breaking Hearts (Ain't What It Used To Be),Elton John,Breaking Hearts,This Is Elton John,Playlist track,GBALX0080003
Merry Christmas,Ed Sheeran,Merry Christmas,This Is Elton John,Playlist track,GBAHS2101360
