Track name, Artist name, Album, Playlist name, Type, ISRC
"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,Just Lose It,This Is Eminem,Playlist track,USIR10211559
The Real Slim Shady,Eminem,The Marshall Mathers LP,This Is Eminem,Playlist track,USIR10000448
Stan,Eminem,The Marshall Mathers LP,This Is Eminem,Playlist track,USIR10001280
Till I Collapse,Eminem,The Eminem Show,This Is Eminem,Playlist track,USIR10211066
My Name Is,Eminem,The Slim Shady LP,This Is Eminem,Playlist track,USIR19902059
Is This Love ('09) (feat. 50 Cent),Eminem,Curtain Call 2,This Is Eminem,Playlist track,USUG12204353
Lucky You (feat. Joyner Lucas),Eminem,Kamikaze,This Is Eminem,Playlist track,USUM71813334
Cleanin' Out My Closet,Eminem,The Eminem Show,This Is Eminem,Playlist track,USIR10211054
Not Afraid,Eminem,Recovery,This Is Eminem,Playlist track,USUM71011769
The Way I Am,Eminem,The Marshall Mathers LP,This Is Eminem,Playlist track,USIR10000589
Love The Way You Lie,Eminem,Recovery,This Is Eminem,Playlist track,USUM71015397
Rap God,Eminem,The Marshall Mathers LP2 (Deluxe),This Is Eminem,Playlist track,USUM71314079
Higher,Eminem,Music To Be Murdered By - Side B (Deluxe Edition),This Is Eminem,Playlist track,USUM72024267
Gnat,Eminem,Music To Be Murdered By - Side B (Deluxe Edition),This Is Eminem,Playlist track,USUM72024265
Guns Blazing (feat. Dr. Dre & Sly Pyper),Eminem,Music To Be Murdered By - Side B (Deluxe Edition),This Is Eminem,Playlist track,USUM72024263
Unaccommodating (feat. Young M.A),Eminem,Music To Be Murdered By,This Is Eminem,Playlist track,USUM72000783
"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)",Eminem,Music To Be Murdered By,This Is Eminem,Playlist track,USUM72000784
The Adventures of Moon Man & Slim Shady (with Eminem),Kid Cudi,The Adventures of Moon Man & Slim Shady (with Eminem),This Is Eminem,Playlist track,USUM72013649
From The D 2 The LBC (with Snoop Dogg),Eminem,From The D 2 The LBC (with Snoop Dogg),This Is Eminem,Playlist track,USUG12204350
"Last One Standing (feat. Polo G, Mozzy & Eminem) - From Venom: Let There Be Carnage",Skylar Grey,"Last One Standing (feat. Polo G, Mozzy & Eminem) [From Venom: Let There Be Carnage]",This Is Eminem,Playlist track,USUM72118408
Those Kinda Nights (feat. Ed Sheeran),Eminem,Music To Be Murdered By,This Is Eminem,Playlist track,USUM72000786
Godzilla (feat. Juice WRLD),Eminem,Music To Be Murdered By,This Is Eminem,Playlist track,USUM72000788
"Yah Yah (feat. Royce Da 5'9"", Black Thought, Q-Tip & Denaun)",Eminem,Music To Be Murdered By,This Is Eminem,Playlist track,USUM72000791
The Ringer,Eminem,Kamikaze,This Is Eminem,Playlist track,USUM71813329
Venom - Music From The Motion Picture,Eminem,Kamikaze,This Is Eminem,Playlist track,USUM71813345
Homicide (feat. Eminem),Logic,Confessions of a Dangerous Mind,This Is Eminem,Playlist track,USUM71908267
Without Me,Eminem,The Eminem Show,This Is Eminem,Playlist track,USIR10211038
Mockingbird,Eminem,Encore (Deluxe Version),This Is Eminem,Playlist track,USIR10400813
When I'm Gone,Eminem,When I'm Gone,This Is Eminem,Playlist track,USUM70506288
River (feat. Ed Sheeran),Eminem,Revival,This Is Eminem,Playlist track,USUM71712944
Sing For The Moment,Eminem,The Eminem Show,This Is Eminem,Playlist track,USIR10211061
I Need A Doctor,Dr. Dre,I Need A Doctor,This Is Eminem,Playlist track,USUM71029031
Forgot About Dre,Dr. Dre,2001,This Is Eminem,Playlist track,USIR19915077
Beautiful,Eminem,Relapse: Refill,This Is Eminem,Playlist track,USUM70964089
Superman,Eminem,The Eminem Show,This Is Eminem,Playlist track,USIR10211062
Like Toy Soldiers,Eminem,Encore (Deluxe Version),This Is Eminem,Playlist track,USIR10400812
Shake That,Eminem,Curtain Call: The Hits (Deluxe Edition),This Is Eminem,Playlist track,USUM70506389
Cinderella Man,Eminem,Recovery,This Is Eminem,Playlist track,USUM71015394
Just Lose It,Eminem,Encore (Deluxe Version),This Is Eminem,Playlist track,USIR10400682
The Monster,Eminem,The Marshall Mathers LP2,This Is Eminem,Playlist track,USUM71314082
Space Bound,Eminem,Recovery,This Is Eminem,Playlist track,USUM71015395
Crack A Bottle,Eminem,Relapse: Refill,This Is Eminem,Playlist track,USUM70964942
No Love,Eminem,Recovery,This Is Eminem,Playlist track,USUM71015393
We Made You,Eminem,Relapse: Refill,This Is Eminem,Playlist track,USUM70965164
What's The Difference,Dr. Dre,2001,This Is Eminem,Playlist track,USIR19915074
White America,Eminem,The Eminem Show,This Is Eminem,Playlist track,USIR10211052
Ass Like That,Eminem,Encore (Deluxe Version),This Is Eminem,Playlist track,USIR10400804
Legacy,Eminem,The Marshall Mathers LP2 (Deluxe),This Is Eminem,Playlist track,USUM71314077
That's All She Wrote,T.I.,No Mercy,This Is Eminem,Playlist track,USAT21002600
Smack That,Akon,Konvicted,This Is Eminem,Playlist track,USUM70609036
In Your Head,Eminem,Revival,This Is Eminem,Playlist track,USUM71713423
Survival,Eminem,The Marshall Mathers LP2 (Deluxe),This Is Eminem,Playlist track,USUM71312879
You Don't Know,Eminem,Eminem Presents The Re-Up,This Is Eminem,Playlist track,USUM70613171
Drop The World,Lil Wayne,Rebirth (International Explicit Deluxe Version),This Is Eminem,Playlist track,USCM50901210
25 To Life,Eminem,Recovery,This Is Eminem,Playlist track,USUM71015420
Role Model,Eminem,The Slim Shady LP,This Is Eminem,Playlist track,USIR19902065
Bitch Please II,Eminem,The Marshall Mathers LP,This Is Eminem,Playlist track,USIR10000591
Forever,Drake,Relapse: Refill,This Is Eminem,Playlist track,USUM70920707
Berzerk,Eminem,The Marshall Mathers LP2 (Deluxe),This Is Eminem,Playlist track,USUM71311375
Patiently Waiting,50 Cent,Get Rich Or Die Tryin',This Is Eminem,Playlist track,USIR10300026
Renegade,JAY-Z,Curtain Call: The Hits (Deluxe Edition),This Is Eminem,Playlist track,USDJ20110682
Guilty Conscience,Eminem,The Slim Shady LP,This Is Eminem,Playlist track,USUM70506390
Bad Guy,Eminem,The Marshall Mathers LP2 (Deluxe),This Is Eminem,Playlist track,USUM71314073
Tragic Endings (feat. Skylar Grey),Eminem,Revival,This Is Eminem,Playlist track,USUM71712950
