Track name, Artist name, Album, Playlist name, Type, ISRC
Cracker Island (feat. Thundercat),Gorillaz,Cracker Island (feat. Thundercat),This Is Gorillaz,Playlist track,GBAYE1901301
Feel Good Inc.,Gorillaz,Demon Days,This Is Gorillaz,Playlist track,GBAYE0500172
Rhinestone Eyes,Gorillaz,Plastic Beach,This Is Gorillaz,Playlist track,GBAYE1000017
New Gold (feat. Tame Impala and Bootie Brown),Gorillaz,New Gold (feat. Tame Impala and Bootie Brown),This Is Gorillaz,Playlist track,GBAYE2200462
Clint Eastwood,Gorillaz,Gorillaz,This Is Gorillaz,Playlist track,GBAYE0001408
DARE,Gorillaz,Demon Days,This Is Gorillaz,Playlist track,GBAYE0500178
On Melancholy Hill,Gorillaz,Plastic Beach,This Is Gorillaz,Playlist track,GBAYE1000010
She's My Collar (feat. Kali Uchis),Gorillaz,Humanz (Deluxe),This Is Gorillaz,Playlist track,GBAYE1700176
Baby Queen,Gorillaz,Baby Queen,This Is Gorillaz,Playlist track,GBAYE2200463
Dirty Harry,Gorillaz,Demon Days,This Is Gorillaz,Playlist track,GBAYE0402431
Empire Ants (feat. Little Dragon),Gorillaz,Plastic Beach,This Is Gorillaz,Playlist track,GBAYE1000007
Skinny Ape,Gorillaz,Skinny Ape,This Is Gorillaz,Playlist track,GBAYE2200466
Tranz,Gorillaz,The Now Now,This Is Gorillaz,Playlist track,GBAYE1800408
Kids with Guns,Gorillaz,Demon Days,This Is Gorillaz,Playlist track,GBAYE0500170
Andromeda (feat. DRAM),Gorillaz,Humanz (Deluxe),This Is Gorillaz,Playlist track,GBAYE1700169
Plastic Beach (feat. Mick Jones and Paul Simonon),Gorillaz,Plastic Beach,This Is Gorillaz,Playlist track,GBAYE1000012
Humility (feat. George Benson),Gorillaz,The Now Now,This Is Gorillaz,Playlist track,GBAYE1800407
O Green World,Gorillaz,Demon Days,This Is Gorillaz,Playlist track,GBAYE0500171
Saturnz Barz (feat. Popcaan),Gorillaz,Humanz (Deluxe),This Is Gorillaz,Playlist track,GBAYE1700163
Stylo (feat. Mos Def and Bobby Womack),Gorillaz,Plastic Beach,This Is Gorillaz,Playlist track,GBAYE0903021
19-2000,Gorillaz,Gorillaz,This Is Gorillaz,Playlist track,GBAYE0001456
El Mañana,Gorillaz,Demon Days,This Is Gorillaz,Playlist track,GBAYE0500173
Sleeping Powder,Gorillaz,Sleeping Powder,This Is Gorillaz,Playlist track,GBAYE1702673
Souk Eye,Gorillaz,The Now Now,This Is Gorillaz,Playlist track,GBAYE1800417
Tomorrow Comes Today,Gorillaz,Gorillaz,This Is Gorillaz,Playlist track,GBAYE0000724
The Valley of The Pagans (feat. Beck),Gorillaz,"Song Machine, Season One: Strange Timez (Deluxe)",This Is Gorillaz,Playlist track,GBAYE2000599
Superfast Jellyfish (feat. Gruff Rhys and De La Soul),Gorillaz,Plastic Beach,This Is Gorillaz,Playlist track,GBAYE1000006
Ascension (feat. Vince Staples),Gorillaz,Humanz (Deluxe),This Is Gorillaz,Playlist track,GBAYE1700161
Fire Flies,Gorillaz,The Now Now,This Is Gorillaz,Playlist track,GBAYE1800415
Pac-Man (feat. ScHoolboy Q),Gorillaz,"Song Machine, Season One: Strange Timez (Deluxe)",This Is Gorillaz,Playlist track,GBAYE2000387
Revolving Doors,Gorillaz,The Fall,This Is Gorillaz,Playlist track,GBAYE1001531
Strobelite (feat. Peven Everett),Gorillaz,Humanz (Deluxe),This Is Gorillaz,Playlist track,GBAYE1700162
Kansas,Gorillaz,The Now Now,This Is Gorillaz,Playlist track,GBAYE1800410
Momentary Bliss (feat. slowthai and Slaves),Gorillaz,"Song Machine, Season One: Strange Timez (Deluxe)",This Is Gorillaz,Playlist track,GBAYE1901675
Rock the House,Gorillaz,Gorillaz,This Is Gorillaz,Playlist track,GBAYE0000771
Busted and Blue,Gorillaz,Humanz (Deluxe),This Is Gorillaz,Playlist track,GBAYE1700170
Magic City,Gorillaz,The Now Now,This Is Gorillaz,Playlist track,GBAYE1800414
Désolé (feat. Fatoumata Diawara) - Extended Version,Gorillaz,"Song Machine, Season One: Strange Timez (Deluxe)",This Is Gorillaz,Playlist track,GBAYE2000649
We Got the Power (feat. Jehnny Beth) - Claptone Remix,Gorillaz,We Got the Power (feat. Jehnny Beth) [Claptone Remix],This Is Gorillaz,Playlist track,GBAYE1701067
Doncamatic (feat. Daley),Gorillaz,Doncamatic (feat. Daley) [The Joker Remix],This Is Gorillaz,Playlist track,GBAYE1001200
5/4,Gorillaz,Gorillaz,This Is Gorillaz,Playlist track,GBAYE0001409
Aries (feat. Peter Hook and Georgia),Gorillaz,"Song Machine, Season One: Strange Timez (Deluxe)",This Is Gorillaz,Playlist track,GBAYE2000107
Meanwhile (feat. Jelani Blackman & Barrington Levy),Gorillaz,Meanwhile EP,This Is Gorillaz,Playlist track,GBAYE2101054
Detroit,Gorillaz,The Fall,This Is Gorillaz,Playlist track,GBAYE1001533
Garage Palace (feat. Little Simz),Gorillaz,Garage Palace (feat. Little Simz),This Is Gorillaz,Playlist track,GBAYE1701402
The Pink Phantom (feat. Elton John and 6LACK),Gorillaz,"Song Machine, Season One: Strange Timez (Deluxe)",This Is Gorillaz,Playlist track,GBAYE2000602
Jimmy Jimmy (feat. AJ Tracey),Gorillaz,Meanwhile EP,This Is Gorillaz,Playlist track,GBAYE2101055
People,Gorillaz,D-Sides [Special Edition],This Is Gorillaz,Playlist track,GBAYE0501188
Rockit,Gorillaz,D-Sides,This Is Gorillaz,Playlist track,GBAYE0702865
Re-Hash,Gorillaz,Gorillaz,This Is Gorillaz,Playlist track,GBAYE0001407
