Track name, Artist name, Album, Playlist name, Type, ISRC
Billie Jean,Michael Jackson,Thriller 25 Super Deluxe Edition,This Is Michael Jackson,Playlist track,USSM19902991
Smooth Criminal - ,Michael Jackson,Bad 25th Anniversary,This Is Michael Jackson,Playlist track,USSM11204989
Beat It,Michael Jackson,Thriller 25 Super Deluxe Edition,This Is Michael Jackson,Playlist track,USSM19902990
Thriller,Michael Jackson,Scream,This Is Michael Jackson,Playlist track,USSM19902989
The Way You Make Me Feel - ,Michael Jackson,Bad 25th Anniversary,This Is Michael Jackson,Playlist track,USSM11204981
They Don't Care About Us,Michael Jackson,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",This Is Michael Jackson,Playlist track,USSM19500629
Don't Stop 'Til You Get Enough,Michael Jackson,Off the Wall,This Is Michael Jackson,Playlist track,USSM17900816
Remember the Time,Michael Jackson,Dangerous,This Is Michael Jackson,Playlist track,USSM10020715
P.Y.T. (Pretty Young Thing),Michael Jackson,Thriller 25 Super Deluxe Edition,This Is Michael Jackson,Playlist track,USSM19902993
Bad - ,Michael Jackson,Bad 25th Anniversary,This Is Michael Jackson,Playlist track,USSM11204980
Rock with You - Single Version,Michael Jackson,Off the Wall,This Is Michael Jackson,Playlist track,USSM17900817
Man in the Mirror - ,Michael Jackson,Bad 25th Anniversary,This Is Michael Jackson,Playlist track,USSM11204986
Black or White,Michael Jackson,Dangerous,This Is Michael Jackson,Playlist track,USSM19000733
Dirty Diana - ,Michael Jackson,Scream,This Is Michael Jackson,Playlist track,USSM11204988
Wanna Be Startin' Somethin',Michael Jackson,Thriller 25 Super Deluxe Edition,This Is Michael Jackson,Playlist track,USSM19902986
You Rock My World,Michael Jackson,Invincible,This Is Michael Jackson,Playlist track,USSM10109858
Love Never Felt So Good,Michael Jackson,XSCAPE,This Is Michael Jackson,Playlist track,USSM11401744
Human Nature,Michael Jackson,Thriller 25 Super Deluxe Edition,This Is Michael Jackson,Playlist track,USSM19902992
You Are Not Alone,Michael Jackson,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",This Is Michael Jackson,Playlist track,USSM19500002
Off the Wall,Michael Jackson,Off the Wall,This Is Michael Jackson,Playlist track,USSM17900820
Starlight,Michael Jackson,Thriller 40,This Is Michael Jackson,Playlist track,USSM12208504
Scream,Michael Jackson,Scream,This Is Michael Jackson,Playlist track,USSM19500006
Heal the World,Michael Jackson,Dangerous,This Is Michael Jackson,Playlist track,USSM10024731
"Can You Feel It - 7"" Version",The Jacksons,The Essential Michael Jackson,This Is Michael Jackson,Playlist track,USSM10503851
Leave Me Alone - ,Michael Jackson,Scream,This Is Michael Jackson,Playlist track,USSM11204990
Stranger in Moscow,Michael Jackson,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",This Is Michael Jackson,Playlist track,USSM19500008
I Want You Back,The Jackson 5,Diana Ross Presents The Jackson 5,This Is Michael Jackson,Playlist track,USMO19400306
Earth Song,Michael Jackson,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",This Is Michael Jackson,Playlist track,USSM19500010
Torture,The Jacksons,Scream,This Is Michael Jackson,Playlist track,USSM10027406
Shake Your Body (Down to the Ground) - Single Edit,The Jacksons,The Essential Michael Jackson,This Is Michael Jackson,Playlist track,USSM10407520
Another Part of Me - ,Michael Jackson,Bad 25th Anniversary,This Is Michael Jackson,Playlist track,USSM11204985
Thriller (Megamix),Michael Jackson,Thriller 40,This Is Michael Jackson,Playlist track,USSM10802831
ABC,The Jackson 5,ABC,This Is Michael Jackson,Playlist track,USMO17082628
Blame It on the Boogie,The Jacksons,The Essential Michael Jackson,This Is Michael Jackson,Playlist track,USSM17801024
The Girl Is Mine (with Paul McCartney),Michael Jackson,Thriller 25 Super Deluxe Edition,This Is Michael Jackson,Playlist track,USSM19902988
This Place Hotel (a.k.a. Heartbreak Hotel),The Jacksons,Scream,This Is Michael Jackson,Playlist track,USSM10022562
Blood on the Dance Floor,Michael Jackson,BLOOD ON THE DANCE FLOOR/ HIStory In The Mix,This Is Michael Jackson,Playlist track,USSM19700290
Ben - Single Version,Michael Jackson,Ben,This Is Michael Jackson,Playlist track,USMO17282631
Baby Be Mine,Michael Jackson,Thriller 25 Super Deluxe Edition,This Is Michael Jackson,Playlist track,USSM19902987
Give In to Me,Michael Jackson,Dangerous,This Is Michael Jackson,Playlist track,USSM10024729
Chicago,Michael Jackson,XSCAPE,This Is Michael Jackson,Playlist track,USSM11401745
I Just Can't Stop Loving You (feat. Siedah Garrett) - ,Michael Jackson,Bad 25th Anniversary,This Is Michael Jackson,Playlist track,USSM11204987
Jam,Michael Jackson,Dangerous,This Is Michael Jackson,Playlist track,USSM10407525
In the Closet,Michael Jackson,Dangerous,This Is Michael Jackson,Playlist track,USSM10020718
Liberian Girl - ed Version,Michael Jackson,Bad 25th Anniversary,This Is Michael Jackson,Playlist track,USSM11204983
I Can't Help It,Michael Jackson,Off the Wall,This Is Michael Jackson,Playlist track,USSM17900823
Never Can Say Goodbye - Single Version,The Jackson 5,Anthology: The Best Of Michael Jackson,This Is Michael Jackson,Playlist track,USMO17182631
Rockin' Robin,Michael Jackson,Got To Be There,This Is Michael Jackson,Playlist track,USMO17282629
Somebody's Watching Me - Single Version,Rockwell,"Hitsville USA, The Motown Collection 1972-1992",This Is Michael Jackson,Playlist track,USMO10000307
Who's Lovin' You,The Jackson 5,Diana Ross Presents The Jackson 5,This Is Michael Jackson,Playlist track,USMO16982624
Workin' Day and Night,Michael Jackson,Off the Wall,This Is Michael Jackson,Playlist track,USSM17900818
All I Do Is Think Of You,The Jackson 5,Moving Violation,This Is Michael Jackson,Playlist track,USMO17500384
Enjoy Yourself,The Jacksons,The Essential Michael Jackson,This Is Michael Jackson,Playlist track,USSM19915101
She's Out of My Life - Single Version,Michael Jackson,Off the Wall,This Is Michael Jackson,Playlist track,USSM17900822
The Love You Save,The Jackson 5,ABC,This Is Michael Jackson,Playlist track,USMO17082629
The Lady in My Life,Michael Jackson,Thriller,This Is Michael Jackson,Playlist track,USSM19902994
I'll Be There,The Jackson 5,Third Album,This Is Michael Jackson,Playlist track,USMO17082635
