Track name, Artist name, Album, Playlist name, Type, ISRC
Storytime,Nightwish,Imaginaerum,This Is Nightwish,Playlist track,DED831100580
Élan,Nightwish,Endless Forms Most Beautiful (Deluxe Version),This Is Nightwish,Playlist track,DED831401152
Amaranth,Nightwish,Dark Passion Play,This Is Nightwish,Playlist track,DED830710403
Wish I Had An Angel,Nightwish,Highest Hopes-The Best Of Nightwish,This Is Nightwish,Playlist track,DED830471902
The Phantom Of The Opera,Nightwish,Century Child,This Is Nightwish,Playlist track,FISFS0200009
Noise,Nightwish,HUMAN. :II: NATURE.,This Is Nightwish,Playlist track,DED832000027
"While Your Lips Are Still Red - Theme from the Movie ""Lieksa!""",Nightwish,The Sound of Nightwish Reborn,This Is Nightwish,Playlist track,DED830713304
Nemo,Nightwish,Highest Hopes-The Best Of Nightwish,This Is Nightwish,Playlist track,DED830471903
End Of All Hope,Nightwish,Century Child,This Is Nightwish,Playlist track,FISFS0200129
Last Ride of the Day,Nightwish,Imaginaerum,This Is Nightwish,Playlist track,DED831100560
Over The Hills And Far Away,Nightwish,Over The Hills And Far Away,This Is Nightwish,Playlist track,FISFS0100001
How's the Heart?,Nightwish,HUMAN. :II: NATURE.,This Is Nightwish,Playlist track,DED832000031
Ever Dream,Nightwish,Century Child,This Is Nightwish,Playlist track,FISFS0200004
Alpenglow,Nightwish,Endless Forms Most Beautiful (Deluxe Version),This Is Nightwish,Playlist track,DED831401158
Dark Chest of Wonders,Nightwish,Once,This Is Nightwish,Playlist track,DED830471901
Shoemaker,Nightwish,HUMAN. :II: NATURE.,This Is Nightwish,Playlist track,DED832000028
Sleeping Sun,Nightwish,Oceanborn,This Is Nightwish,Playlist track,FISFS9900081
Wishmaster,Nightwish,Wishmaster,This Is Nightwish,Playlist track,FISFS0000008
Bye Bye Beautiful,Nightwish,Dark Passion Play,This Is Nightwish,Playlist track,DED830710402
Tribal,Nightwish,HUMAN. :II: NATURE.,This Is Nightwish,Playlist track,DED832000033
Shudder Before the Beautiful,Nightwish,Endless Forms Most Beautiful (Deluxe Version),This Is Nightwish,Playlist track,DED831401150
She Is My Sin,Nightwish,Wishmaster,This Is Nightwish,Playlist track,FISFS0000025
I Want My Tears Back,Nightwish,Imaginaerum,This Is Nightwish,Playlist track,DED831100554
Pan,Nightwish,HUMAN. :II: NATURE.,This Is Nightwish,Playlist track,DED832000030
Ghost Love Score,Nightwish,Once,This Is Nightwish,Playlist track,DED830471909
My Walden,Nightwish,Endless Forms Most Beautiful (Deluxe Version),This Is Nightwish,Playlist track,DED831401155
Dead To The World,Nightwish,Century Child,This Is Nightwish,Playlist track,FISFS0200003
Harvest,Nightwish,HUMAN. :II: NATURE.,This Is Nightwish,Playlist track,DED832000029
Planet Hell,Nightwish,Once,This Is Nightwish,Playlist track,DED830471904
Endless Forms Most Beautiful,Nightwish,Endless Forms Most Beautiful (Deluxe Version),This Is Nightwish,Playlist track,DED831401156
The Kinslayer,Nightwish,Wishmaster,This Is Nightwish,Playlist track,FISFS0000004
Turn Loose the Mermaids,Nightwish,Imaginaerum,This Is Nightwish,Playlist track,DED831100557
Bless The Child,Nightwish,Century Child,This Is Nightwish,Playlist track,FISFS0200128
Weak Fantasy,Nightwish,Endless Forms Most Beautiful (Deluxe Version),This Is Nightwish,Playlist track,DED831401151
Deep Silent Complete,Nightwish,Wishmaster,This Is Nightwish,Playlist track,FISFS0000011
"The Crow, the Owl and the Dove",Nightwish,Imaginaerum,This Is Nightwish,Playlist track,DED831100559
The Islander,Nightwish,Dark Passion Play,This Is Nightwish,Playlist track,DED830710410
Where Were You Last Night,Nightwish,Wish I Had an Angel,This Is Nightwish,Playlist track,DED830402223
Come Cover Me,Nightwish,Wishmaster,This Is Nightwish,Playlist track,FISFS0000027
10th Man Down,Nightwish,Over The Hills And Far Away,This Is Nightwish,Playlist track,FIUM70700316
High Hopes,Nightwish,End of an Era,This Is Nightwish,Playlist track,DED830692608
Gethsemane,Nightwish,Oceanborn,This Is Nightwish,Playlist track,FISFS9800094
The Siren,Nightwish,Once,This Is Nightwish,Playlist track,DED830471906
The Heart Asks Pleasure First,Nightwish,"The Crow, the Owl and the Dove",This Is Nightwish,Playlist track,DED831100785
Dead Gardens - Remastered,Nightwish,Once (Remastered),This Is Nightwish,Playlist track,DED832001173
Stargazers,Nightwish,Oceanborn,This Is Nightwish,Playlist track,FISFS9800093
Wanderlust,Nightwish,Wishmaster,This Is Nightwish,Playlist track,FISFS0000028
Forever Yours,Nightwish,Century Child,This Is Nightwish,Playlist track,FISFS0200006
"7 Days to the Wolves - Live, at Wembley, 2015",Nightwish,Vehicle of Spirit: Wembley Arena (Live),This Is Nightwish,Playlist track,DED831700072
"Ghost River - Live, at Wacken, 2013",Nightwish,"Showtime, Storytime (Live, at Wacken, 2013)",This Is Nightwish,Playlist track,DED831300572
