Track name, Artist name, Album, Playlist name, Type, ISRC
The Pot,TOOL,"10,000 Days",This Is TOOL,Playlist track,USVR10600023
Forty Six & 2,TOOL,Ænima,This Is TOOL,Playlist track,USZE19600086
Schism,TOOL,Lateralus,This Is TOOL,Playlist track,USVR10100013
Sober,TOOL,Undertow,This Is TOOL,Playlist track,USVR10000011
Vicarious,TOOL,"10,000 Days",This Is TOOL,Playlist track,USVR10600019
Stinkfist,TOOL,Ænima,This Is TOOL,Playlist track,USZE19600081
Pneuma,TOOL,Fear Inoculum,This Is TOOL,Playlist track,USRC11902033
Parabola,TOOL,Lateralus,This Is TOOL,Playlist track,USVR10100015
Jambi,TOOL,"10,000 Days",This Is TOOL,Playlist track,USVR10600020
Ænema,TOOL,Ænima,This Is TOOL,Playlist track,USZE19600150
Invincible,TOOL,Fear Inoculum,This Is TOOL,Playlist track,USRC11902035
Lateralus,TOOL,Lateralus,This Is TOOL,Playlist track,USVR10100017
Prison Sex,TOOL,Undertow,This Is TOOL,Playlist track,USVR10000010
H.,TOOL,Ænima,This Is TOOL,Playlist track,USZE19600083
Fear Inoculum,TOOL,Fear Inoculum,This Is TOOL,Playlist track,USRC11902032
Parabol,TOOL,Lateralus,This Is TOOL,Playlist track,USVR10100014
Right In Two,TOOL,"10,000 Days",This Is TOOL,Playlist track,USVR10600028
Eulogy,TOOL,Ænima,This Is TOOL,Playlist track,USZE19600082
Descending,TOOL,Fear Inoculum,This Is TOOL,Playlist track,USRC11902037
The Grudge,TOOL,Lateralus,This Is TOOL,Playlist track,USVR10100009
Rosetta Stoned,TOOL,"10,000 Days",This Is TOOL,Playlist track,USVR10600026
Hooker With A Penis,TOOL,Ænima,This Is TOOL,Playlist track,USZE19600088
7empest,TOOL,Fear Inoculum,This Is TOOL,Playlist track,USRC11902165
Eon Blue Apocalypse,TOOL,Lateralus,This Is TOOL,Playlist track,USVR10100010
Hush,TOOL,Opiate,This Is TOOL,Playlist track,USVR10100049
"10,000 Days (Wings Pt 2)",TOOL,"10,000 Days",This Is TOOL,Playlist track,USVR10600022
Culling Voices,TOOL,Fear Inoculum,This Is TOOL,Playlist track,USRC11902038
Swamp Song,TOOL,Undertow,This Is TOOL,Playlist track,USVR10000014
Part Of Me,TOOL,Opiate,This Is TOOL,Playlist track,USVR10100050
Opiate²,TOOL,Opiate²,This Is TOOL,Playlist track,USRC12103372
Undertow,TOOL,Undertow,This Is TOOL,Playlist track,USVR10900085
Sweat,TOOL,Opiate,This Is TOOL,Playlist track,USVR10100048
Intolerance,TOOL,Undertow,This Is TOOL,Playlist track,USVR10000009
Cold And Ugly - Live,TOOL,Opiate,This Is TOOL,Playlist track,USVR10100051
Bottom,TOOL,Undertow,This Is TOOL,Playlist track,USVR10000012
Jerk-Off - Live,TOOL,Opiate,This Is TOOL,Playlist track,USVR10100052
