Track name, Artist name, Album, Playlist name, Type, ISRC
Africa,TOTO,Africa: The Best Of Toto,Toto - Best Of,Playlist track,USSM19801881
Rosanna,TOTO,Africa: The Best Of Toto,Toto - Best Of,Playlist track,USSM18200245
Hold the Line,TOTO,Africa: The Best Of Toto,Toto - Best Of,Playlist track,USSM17800444
I Won't Hold You back,TOTO,Africa: The Best Of Toto,Toto - Best Of,Playlist track,USSM19922382
Make Believe,TOTO,Africa: The Best Of Toto,Toto - Best Of,Playlist track,USSM10209746
99,TOTO,Africa: The Best Of Toto,Toto - Best Of,Playlist track,USSM17900489
Gift with a Golden Gun,TOTO,Turn Back,Toto - Best Of,Playlist track,USSM19801925
I'll Supply the Love,TOTO,Africa: The Best Of Toto,Toto - Best Of,Playlist track,USSM17801374
Stranger in Town,TOTO,Africa: The Best Of Toto,Toto - Best Of,Playlist track,USSM19801944
Afraid of Love,TOTO,Toto IV,Toto - Best Of,Playlist track,USSM19801937
Georgy Porgy,TOTO,Africa: The Best Of Toto,Toto - Best Of,Playlist track,USSM17800443
St. George and the Dragon,TOTO,Africa: The Best Of Toto,Toto - Best Of,Playlist track,USSM19801918
After You've Gone,TOTO,Mindfields,Toto - Best Of,Playlist track,USSM19805742
All Us Boys,TOTO,Africa: The Best Of Toto,Toto - Best Of,Playlist track,USSM19801921
Goodbye Elenore,TOTO,Africa: The Best Of Toto,Toto - Best Of,Playlist track,USSM19801929
Live for Today,TOTO,Africa: The Best Of Toto,Toto - Best Of,Playlist track,USSM17900735
Angel Don't Cry,TOTO,Africa: The Best Of Toto,Toto - Best Of,Playlist track,USSM19801945
Rockmaker,TOTO,Africa: The Best Of Toto,Toto - Best Of,Playlist track,USSM17800438
Turn Back,TOTO,Africa: The Best Of Toto,Toto - Best Of,Playlist track,USSM19801931
I'll Be over You,TOTO,Africa: The Best Of Toto,Toto - Best Of,Playlist track,USSM18600734
Pamela,TOTO,Africa: The Best Of Toto,Toto - Best Of,Playlist track,USSM18700236
I Will Remember,TOTO,Africa: The Best Of Toto,Toto - Best Of,Playlist track,USSM19502705
You Got Me,TOTO,Africa: The Best Of Toto,Toto - Best Of,Playlist track,USSM18700223
Anna,TOTO,Africa: The Best Of Toto,Toto - Best Of,Playlist track,USSM18700224
Stop Loving You,TOTO,Africa: The Best Of Toto,Toto - Best Of,Playlist track,USSM18700235
Endless,TOTO,Africa: The Best Of Toto,Toto - Best Of,Playlist track,USSM18400456
Holyanna,TOTO,Africa: The Best Of Toto,Toto - Best Of,Playlist track,USSM19801951
How Does It Feel,TOTO,Africa: The Best Of Toto,Toto - Best Of,Playlist track,USSM18400455
Without Your Love,TOTO,Africa: The Best Of Toto,Toto - Best Of,Playlist track,USSM10017540
If You Belong To Me,TOTO,Africa: The Best Of Toto,Toto - Best Of,Playlist track,USSM19502707
Goin' Home,TOTO,Africa: The Best Of Toto,Toto - Best Of,Playlist track,USSM18900322
Out Of Love,TOTO,Africa: The Best Of Toto,Toto - Best Of,Playlist track,USSM19801973
Don't Chain My Heart,TOTO,Africa: The Best Of Toto,Toto - Best Of,Playlist track,USSM19100272
Mushanga,TOTO,Africa: The Best Of Toto,Toto - Best Of,Playlist track,USSM18700226
Home of the Brave,TOTO,The Essential,Toto - Best Of,Playlist track,USSM18700232
How Many Times,TOTO,Kingdom Of Desire,Toto - Best Of,Playlist track,USSM19801954
Till the End,TOTO,Fahrenheit,Toto - Best Of,Playlist track,USSM10026851
Lea,TOTO,Fahrenheit,Toto - Best Of,Playlist track,USSM19927078
Could This Be Love,TOTO,Fahrenheit,Toto - Best Of,Playlist track,USSM10026387
Only the Children,TOTO,The Seventh One,Toto - Best Of,Playlist track,USSM18700229
Straight for the Heart,TOTO,The Seventh One,Toto - Best Of,Playlist track,USSM18700228
Somewhere Tonight,TOTO,Fahrenheit,Toto - Best Of,Playlist track,USSM10026722
Child's Anthem,TOTO,Toto,Toto - Best Of,Playlist track,USSM17800431
I Think I Could Stand You Forever,TOTO,Turn Back,Toto - Best Of,Playlist track,USSM19801930
Isolation,TOTO,Isolation,Toto - Best Of,Playlist track,USSM19801948
Can't Stand It Any Longer,TOTO,Fahrenheit,Toto - Best Of,Playlist track,USSM19927697
Good for You,TOTO,Toto IV,Toto - Best Of,Playlist track,USSM19801935
Kingdom of Desire,TOTO,Kingdom Of Desire,Toto - Best Of,Playlist track,USSM19801961
Girl Goodbye,TOTO,Toto,Toto - Best Of,Playlist track,USSM17800436
The Turning Point,TOTO,Tambu,Toto - Best Of,Playlist track,USSM19502710
Carmen,TOTO,Isolation,Toto - Best Of,Playlist track,USSM19801942
We Can Make It Tonight,TOTO,Fahrenheit,Toto - Best Of,Playlist track,USSM18600735
Lorraine,TOTO,Hydra,Toto - Best Of,Playlist track,USSM17900734
King Of The World,TOTO,Falling In Between,Toto - Best Of,Playlist track,ITG270600043
Caught In the Balance,TOTO,Mindfields,Toto - Best Of,Playlist track,USSM19805745
Mad About You,TOTO,Mindfields,Toto - Best Of,Playlist track,USSM19805743
Alone,TOTO,Alone,Toto - Best Of,Playlist track,USSM11708034
Spanish Sea,TOTO,Spanish Sea,Toto - Best Of,Playlist track,USSM11709637
The Road Goes On,TOTO,Tambu,Toto - Best Of,Playlist track,USSM19502715
Last Night,TOTO,Xx,Toto - Best Of,Playlist track,USSM18700185
Hash Pipe,TOTO,Hash Pipe,Toto - Best Of,Playlist track,DEUM71804075
All the Tears That Shine,TOTO,Toto XIV,Toto - Best Of,Playlist track,ITG271500076
We Keep on Running,What So Not,We Keep on Running,Toto - Best Of,Playlist track,GBCFB1700539
Dune (Desert Theme),TOTO,Dune (Original Motion Picture Soundtrack),Toto - Best Of,Playlist track,USA298400100
Struck By Lightning,TOTO,Greatest Hits: 40 Trips Around The Sun,Toto - Best Of,Playlist track,USSM11709628
Goin' Home - Single Version,TOTO,The Essential Toto,Toto - Best Of,Playlist track,USSM18900323
Devil's Tower,TOTO,Devil's Tower,Toto - Best Of,Playlist track,USSM11709632
Jake to the Bone,TOTO,Greatest Hits: 40 Trips Around The Sun,Toto - Best Of,Playlist track,USSM19801962
Lovers in the Night,TOTO,Toto IV,Toto - Best Of,Playlist track,USSM19801938
Chelsea,TOTO,Chelsea,Toto - Best Of,Playlist track,USSM11709629
If It's the Last Night,TOTO,Turn Back,Toto - Best Of,Playlist track,USSM17900758
Great Expectations,TOTO,Toto XIV,Toto - Best Of,Playlist track,ITG271500078
Gift Of Faith,TOTO,Tambu,Toto - Best Of,Playlist track,USSM19502704
English Eyes,TOTO,Turn Back,Toto - Best Of,Playlist track,USSM19801926
Fahrenheit,TOTO,Fahrenheit,Toto - Best Of,Playlist track,USSM19927700
The Other Side,TOTO,Kingdom Of Desire,Toto - Best Of,Playlist track,USSM19801958
Angela,TOTO,Toto,Toto - Best Of,Playlist track,USSM17800439
Manuela Run,TOTO,Toto,Toto - Best Of,Playlist track,USSM17800434
White Sister,TOTO,Hydra,Toto - Best Of,Playlist track,USSM19801923
Wings Of Time,TOTO,Kingdom Of Desire,Toto - Best Of,Playlist track,USSM19801956
These Chains,TOTO,The Seventh One,Toto - Best Of,Playlist track,USSM18700231
Lion,TOTO,Isolation,Toto - Best Of,Playlist track,USSM18400454
We Made It,TOTO,Toto IV,Toto - Best Of,Playlist track,USSM19801939
Gypsy Train,TOTO,Kingdom Of Desire,Toto - Best Of,Playlist track,USSM19801952
Change of Heart,TOTO,Isolation,Toto - Best Of,Playlist track,USSM19801950
