Track name, Artist name, Album, Playlist name, Type, ISRC
Tomorrow Never Knows - Take 1,The Beatles,Tomorrow Never Knows (Take 1),This Is The Beatles,Playlist track,GBUM72202087
Taxman - 2022 Mix,The Beatles,Taxman (2022 Mix),This Is The Beatles,Playlist track,GBUM72202544
Here Comes The Sun,The Beatles,Abbey Road,This Is The Beatles,Playlist track,GBAYE0601696
Yesterday,The Beatles,Help!,This Is The Beatles,Playlist track,GBAYE0601477
In My Life,The Beatles,Rubber Soul,This Is The Beatles,Playlist track,GBAYE0601489
Let It Be,The Beatles,Let It Be,This Is The Beatles,Playlist track,GBAYE0601713
Blackbird,The Beatles,The Beatles,This Is The Beatles,Playlist track,GBAYE0601654
Come Together,The Beatles,Abbey Road,This Is The Beatles,Playlist track,GBAYE0601690
Norwegian Wood (This Bird Has Flown),The Beatles,Rubber Soul,This Is The Beatles,Playlist track,GBAYE0601480
Twist And Shout,The Beatles,Please Please Me,This Is The Beatles,Playlist track,GBAYE0601423
You've Got To Hide Your Love Away,The Beatles,Help!,This Is The Beatles,Playlist track,GBAYE0601467
Something,The Beatles,Abbey Road,This Is The Beatles,Playlist track,GBAYE0601691
"Ob-La-Di, Ob-La-Da ",The Beatles,The Beatles,This Is The Beatles,Playlist track,GBAYE0601647
Hey Jude -,The Beatles,1,This Is The Beatles,Playlist track,GBUM71505902
Help!,The Beatles,Help!,This Is The Beatles,Playlist track,GBAYE0601465
All My Loving,The Beatles,With The Beatles,This Is The Beatles,Playlist track,GBAYE0601426
While My Guitar Gently Weeps,The Beatles,The Beatles,This Is The Beatles,Playlist track,GBAYE0601650
And I Love Her,The Beatles,A Hard Day's Night,This Is The Beatles,Playlist track,GBAYE0601442
Golden Slumbers,The Beatles,Abbey Road,This Is The Beatles,Playlist track,GBAYE0601703
Love Me Do,The Beatles,Please Please Me,This Is The Beatles,Playlist track,GBAYE0601417
Eleanor Rigby,The Beatles,Revolver,This Is The Beatles,Playlist track,GBAYE0601494
A Hard Day's Night,The Beatles,A Hard Day's Night,This Is The Beatles,Playlist track,GBAYE0601438
Michelle,The Beatles,Rubber Soul,This Is The Beatles,Playlist track,GBAYE0601485
Get Back,The Beatles,Let It Be,This Is The Beatles,Playlist track,GBAYE0601719
"Here, There And Everywhere ",The Beatles,Revolver,This Is The Beatles,Playlist track,GBAYE0601497
I Will,The Beatles,The Beatles,This Is The Beatles,Playlist track,GBAYE0601659
Can't Buy Me Love,The Beatles,A Hard Day's Night,This Is The Beatles,Playlist track,GBAYE0601444
Don't Let Me Down,The Beatles,The Beatles 1967 - 1970,This Is The Beatles,Playlist track,GBAYE0900599
Day Tripper -,The Beatles,1,This Is The Beatles,Playlist track,GBUM71505892
The Long And Winding Road,The Beatles,Let It Be,This Is The Beatles,Playlist track,GBAYE0601717
I'll Follow The Sun,The Beatles,Beatles For Sale,This Is The Beatles,Playlist track,GBAYE0601455
Drive My Car,The Beatles,Rubber Soul,This Is The Beatles,Playlist track,GBAYE0601479
For No One,The Beatles,Revolver,This Is The Beatles,Playlist track,GBAYE0601502
She Loves You - Mono / Remastered,The Beatles,1,This Is The Beatles,Playlist track,GBUM71505910
Eight Days A Week,The Beatles,Beatles For Sale,This Is The Beatles,Playlist track,GBAYE0601458
Nowhere Man,The Beatles,Rubber Soul,This Is The Beatles,Playlist track,GBAYE0601482
Across The Universe,The Beatles,Let It Be,This Is The Beatles,Playlist track,GBAYE0601710
Oh! Darling,The Beatles,Abbey Road,This Is The Beatles,Playlist track,GBAYE0601693
Lucy In The Sky With Diamonds,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,This Is The Beatles,Playlist track,GBAYE0601509
I Feel Fine -,The Beatles,1,This Is The Beatles,Playlist track,GBUM71505903
All You Need Is Love,The Beatles,Magical Mystery Tour,This Is The Beatles,Playlist track,GBAYE0601643
Octopus's Garden,The Beatles,Abbey Road,This Is The Beatles,Playlist track,GBAYE0601694
With A Little Help From My Friends,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,This Is The Beatles,Playlist track,GBAYE0601508
We Can Work It Out -,The Beatles,1,This Is The Beatles,Playlist track,GBUM71505915
Strawberry Fields Forever,The Beatles,Magical Mystery Tour,This Is The Beatles,Playlist track,GBAYE0601640
If I Fell,The Beatles,A Hard Day's Night,This Is The Beatles,Playlist track,GBAYE0601440
When I'm Sixty Four,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,This Is The Beatles,Playlist track,GBAYE0601515
I've Just Seen A Face,The Beatles,Help!,This Is The Beatles,Playlist track,GBAYE0601476
Penny Lane,The Beatles,Magical Mystery Tour,This Is The Beatles,Playlist track,GBAYE0601641
Back In The U.S.S.R.,The Beatles,The Beatles,This Is The Beatles,Playlist track,GBAYE0601644
Girl,The Beatles,Rubber Soul,This Is The Beatles,Playlist track,GBAYE0601487
Do You Want To Know A Secret,The Beatles,Please Please Me,This Is The Beatles,Playlist track,GBAYE0601420
